topik,keyword,tweet,gambar,url,label
Vaksin,Vaksin penyebab autis,"Copas dr tetangga.... Assalamualaikum wr wb..utk semua ""Vaksin Penyebab AUTIS"" Buat para Pasangan MUDA. Oom dan... http://fb.me/7uc0gtgTz",,https://twitter.com/amaliarustiati/status/843697629934575616?s=20,hoax
Vaksin,Vaksin penyebab autis,"Buat para ortu yg sdh mantu atau mau punya cucu atau ada ponakan2: ""Vaksin Penyebab Autis"" Buat para Pasangan... http://fb.me/6NaAYEKv4",,https://twitter.com/obos69/status/643081238270636032?s=20,hoax
Vaksin,Vaksin penyebab autis,Vaksin Penyebab Autisme? http://klik-dr.tk/ZxKspd #KlikDokter,,https://twitter.com/klikdoktercom/status/327623941181014017?s=20,?
Vaksin,Vaksin penyebab autis,Semakin banyak dokter2 USA Penentang vaksin .. semakin nyata Vaksin MMR Penyebab Autis..... http://fb.me/1AVPn4ZX8,,https://twitter.com/BJ_On/status/505568236071825408?s=20,hoax
Vaksin,Vaksin penyebab autis,Jenny Mc Charty artis Hollywood mantannya Jim Carey yg punya anak autis & menyatakan penyebab autisnya krn vaksin MMR,,https://twitter.com/alfakurnia/status/13647982315?s=20,hoax
Vaksin,Vaksin penyebab autis,"*HATI-HATI DENGAN VAKSINASI* *""Vaksin Penyebab AUTIS""* Buat para Pasangan MUDA. Oom dan Tante yg punya... http://fb.me/7EA3ifkS8",,https://twitter.com/achmadwibowo1/status/785608633530941440?s=20,hoax
Vaksin,Vaksin penyebab autis,Vaksin Penyebab Autis - http://aktualpost.com/2015/09/vaksin,,https://twitter.com/aktualpost/status/647824691311325184?s=20,hoax
Boba ,Boba usus buntu,Mau ajak nyokap alesannya krn di Starbucks ga ada boba yg bisa bikin usus buntu stad #SbuxCupsOfCourage,,https://twitter.com/CarinaAvior/status/1181752685017497600?s=20,hoax
Boba ,Boba usus buntu,Sabtu minum boba Senin oprasi usus buntu Ngeri anjim,,https://twitter.com/yosiasaragi/status/1354096531033346048?s=20,hoax
Boba ,Boba usus buntu,Bahaya loh itu boba kebanyakan bikin usus buntu,,https://twitter.com/ifasyalalaa/status/1189505605255327745?s=20,hoax
Boba ,Boba usus buntu,"Jgn sering sering ya bi, boba bikin usus buntu hmm",,https://twitter.com/Voldock3/status/1227216456837779462?s=20,hoax
Boba ,Boba usus buntu,"Boba bikin diabetes,bikin usus buntu taukk",,https://twitter.com/ohsehuvnn/status/1395669343749373953?s=20,hoax
Boba ,Boba usus buntu,Pagi pagi dah minum boba usus buntu ntar,,https://twitter.com/k1thahaha/status/1395196809102778376?s=20,hoax
Boba ,Boba usus buntu,"Gw sering banget sih jajan begituan, kecuali boba jarang dan emang lama lama kerasa sih efek nya, ampe timbul sariawan 3 biji, trs perut bawah sebelah kanan mulai agak sakit gt jadi parno takut usus buntu baru sadar kalo emg makanan kek gitu berpengaruh bgt",,https://twitter.com/miauwink/status/1374397238374330375?s=20,hoax
Les,Les gangguan jiwa,Mungkin bisa di share ke group ortu *Bocah Ini Kena Gangguan Jiwa* *karena Terlalu Banyak Ikut Les* Kisah yang sungguh membuat hati miris ini datang dari sebuah akun Facebook... http://cerminan.com/berita/bocah-ini-kena-gangguan-jiwa-karena-terlalu-banyak-ikut-les.html,,https://twitter.com/josephas88/status/1191977587612012546?s=20,hoax
Les,Les gangguan jiwa,WARNING!!! PARA ORANGTUA / WALI MURID Bocah Ini Kena Gangguan Jiwa karena Terlalu Banyak Ikut Les Kisah yang sungguh membuat hati miris ini datang dari sebuah akun Facebook bernama Andi Teposs. Tertanggal 18... https://facebook.com/416465598440680/posts/2017483248338899/,,https://twitter.com/nhi2nk/status/1067142046992007168?s=20,hoax
Les,Les gangguan jiwa,Anak yang Les Terlalu Banyak Bisa Terkena Gangguan Jiwa http://katakota.com/anak-yang-les-terlalu-banyak-bisa-terkena-gangguan-jiwa/…,,https://twitter.com/KataKotanews/status/1031112558726537216?s=20,hoax
Les,Les gangguan jiwa,Anak yang les terlalu banyak bisa terkena gangguan jiwa http://dewaporkas.net/anak-yang-les-terlalu-banyak-bisa-terkena-gangguan-jiwa/,,https://twitter.com/Kartu3655/status/1031062139987849216?s=20,hoax
Les,Les gangguan jiwa,Terlalu Banyak Les Bikin Anak Didera Gangguan Jiwa? http://artikelmajalah.com/terlalu-banyak-les-bikin-anak-didera-gangguan-jiwa/…,,https://twitter.com/artikelmajalah/status/1030667269695832064?s=20,hoax
Les,Les gangguan jiwa,"Miris : Bocah Kena Gangguan Jiwa karena Terlalu Banyak Ikut Les, Ditanya Apapun Jawabnya Angka-angka | BERITA... http://fb.me/6cws9ffKo",,https://twitter.com/ceepleez/status/861018592145358849?s=20,hoax
Les,Les gangguan jiwa,"#Populer KISAH MENYEDIHKAN ANAK YANG TERLALU BANYAK IKUT LES, KINI KENA GANGGUAN JIWA Kisah yang sungguh membuat... http://fb.me/4QniwtSid",,https://twitter.com/dahlandahi/status/765103426246148096?s=20,hoax
Mata,Mata akibat sering main HP,"Akibat Terlalu Sering Main Game di HP Lihat Apa Yang Terjadi Pada Mata Anak Ini di Menit 01.03 # Jangan Lupa LIKE, COMMENT, SHARE dan SUBSCRIBE Ya Wajah tersenyum dengan mata tersenyumhttps://youtube.com/watch?v=p0JxdAMPjEo&feature=share",,https://twitter.com/hayardin/status/1177549862948225033?s=20,?
Mata,Mata akibat sering main HP,Pesan Berantai Akibat Sering Main HP Menyebabkan Pembuluh Darah Mata Pecah Bikin… https://goo.gl/fb/wBo3qt #ugetuget,,https://twitter.com/freshwebdevcom/status/1017062860369866752?s=20,hoax
Mata,Mata akibat sering main HP,"Viral Kisah Pendarahan Mata Remaja, Benarkah Akibat Terlalu Sering Main HP? Begini Kata Dokter",,https://twitter.com/komburmedan/status/1015919948571373568?s=20,?
Mata,Mata akibat sering main HP,"Yayayyaayyaa pk juga kacamata akibat sering ntn TV gelap sama main hp , jd pk kaca mata baca dehh biar… http://instagram.com/p/if9ytkimhD/",,https://twitter.com/dellalled/status/417216125207072768?s=20,hoax
Mata,Mata akibat sering main HP,"nih nih Akibat Sering Menonton Youtube, Balita Ini Kena Sindrom Juling, Curhatan... http://youtu.be/XdJTNcCeiX8 via youtube",,https://twitter.com/yeajise0/status/1389250798492680200?s=20,hoax
Mata,Mata akibat sering main HP,Viral Eyelash Extension disebut bikin pembuluh darah mata pecah saat tidur - https://tempoyak.net/?p=8299,,https://twitter.com/berita_tular/status/1393466476796039168?s=20,hoax
Mata,Mata akibat sering main HP,Dokter Mata Jelaskan Kebenaran di Balik Pesan Berantai 'Pembuluh Mata Pecah akibat Sering Main HP',,https://twitter.com/ObatJerawatHerb/status/1016598657565511680?s=20,valid
Dana haji,Pemerintah gunakan dana haji,Tapi setidaknya dana haji itu jgn dipakai buat pembangunan. Pembangunan kan bisa di tunda sedangkan orang yg seharusnya berangkat dia udah setor harusnya bisa berangkat tahun2 kemarin ternyata sekarang tidak.,,https://twitter.com/Rosalin61289213/status/1402155906800910337?s=20,hoax
Dana haji,Pemerintah gunakan dana haji,Pak wapres kan setuju jika dana haji di gunakan pemerintah untuk pembangunan,,https://twitter.com/wandi_atjeh/status/1400369012769320960?s=20,hoax
Dana haji,Pemerintah gunakan dana haji,"Hayoo ngaku siapa yang tanda tangan Dana Haji bisa dipakai untuk infraskruktur ? Sudah rame, pada sembunyi deh Kebiasaan lempar batu, sembunyi tangan ",,https://twitter.com/RamliRizal/status/1401375514170859527?s=20,hoax
Dana haji,Pemerintah gunakan dana haji,"Akun hastag #NKRI, hastag #pancasila dan sejenisnya menyerang semua pihak yg kumpulkan sumbangan masyarakat utk Palestina tapi diam ttg penggunaan dana haji. Makin hari makin jelas siapa mereka.",,https://twitter.com/msaid_didu/status/1401353500383055882?s=20,hoax
Dana haji,Pemerintah gunakan dana haji,Soal dana haji ... jauh2 hari pemerintah terang2an kok mau gunakan untuk infrastruktur. Sampeyan bisa memastikan aman darimana sumbernya?? Sudah ada yg mengaudit dana tsb ?? Ngoyo2 wae …,,https://twitter.com/Rantau211211/status/1402173726116880385?s=20,hoax
Dana haji,Pemerintah gunakan dana haji,"HAJI, KEGAGALAN YANG FATAL https://portal-islam.id/2021/06/haji-kegagalan-yang-fatal.html…","innalillahi, resmi, haji INDONESIA 2021 batal",https://twitter.com/maspiyuaja/status/1400378809195515908?s=20,hoax
Dana haji,Pemerintah gunakan dana haji,Sama halnya Publik curiga dana haji amblas Pemerintah memastikan dana Haji Aman Harusnya dana Haji setelah 2 tahun tak di gunakan bisa bertambah dong ?,,https://twitter.com/presiden_sarden/status/1400445238682947584?s=20,hoax
Mustafa kemal,Azab mustafa kemal,"Tepat sekali byk pelajaran besar pemimpin Dunia di Azab, seperti; Fir'aun, Mustafa Kemal Attartuk, Ariel Sharon. Mendzholimi rakyat & agama, matipun tragis. Masih byk lagi contoh di Dunia ini.",,https://twitter.com/AferoJepara/status/1376466768084889600?s=20,hoax
Mustafa kemal,Azab mustafa kemal,Semoga segera terjerumus dalam azab dunia.....aamiinnn.... Semoga berakhir seperti Mustafa Kemal di Turki.....aamiinn....,,https://twitter.com/s45trogemblung/status/1323412303891456001?s=20,hoax
Mustafa kemal,Azab mustafa kemal,Cukuplah Mustafa Kemal yg kena Azab Allah... Kamu Mau??,"Diakhir hayatnya, mustafa kemal mengalami kematian tragis mulai dari penyakitnya yang aneh hingga jasadnya yang tidak diterima bumi",https://twitter.com/Habibah_US2/status/1299466843539738624?s=20,hoax
Mustafa kemal,Azab mustafa kemal,"Padahal Mustafa Kemal laknatullah adalah musuh terbesar umat Islam, karena dialah <semoga azab terus ditimpakan... http://fb.me/8mi39pRZ6",,https://twitter.com/grapikin/status/883914861599535104?s=20,hoax
Mustafa kemal,Azab mustafa kemal,"Kesimpulannya , bahwa munculnya keyakinan di masyarakat muslim Turki bahwa Mustafa Kemal mati terkena azab adalah bentuk penalaran yang didasari oleh akal sehat dan keimanan kepada yang ghaib",,https://twitter.com/adeeesurya/status/1362273799996022789?s=20,hoax
Mustafa kemal,Azab mustafa kemal,Masih ingat kah kalian dengan Mustafa Kemal Ataturk ?? Jasad beliau tidak di terima di Bumi . .. Itulah Azab Allah SWT untuk beliau !!,,https://twitter.com/azhari_ev/status/336122078858186753?s=20,hoax
Mustafa kemal,Azab mustafa kemal,"AZAB DI DUNIA.. Sewaktu Mustafa Kemal Ataturk meninggal dunia, tidak seorang pun yang memandikan, ... http://azlinda2.tumblr.com/post/143082471837",,https://twitter.com/amalinamariana/status/723160970802008064?s=20,hoax
kambing ,Kambing melahirkan babi,Kambing Di Filipina Melahirkan Mahluk Berbentuk Setengah Babi Setengah Manusia < https://kaskus.co.id/thread/5bf528ab9252332d638b4567/lagi-heboh-gan-kambing-di-filipina-melahirkan-mahluk-setengah-babi-setengah-manusia,,https://twitter.com/Gogelicious/status/1065537927214702592?s=20,hoax
kambing ,Kambing melahirkan babi,"Geger, Induk Kambing Melahirkan Makhluk Setengah Babi Setengah Manusia http://dlvr.it/QsB46t",,https://twitter.com/liputan6dotcom/status/1067214441681285120?s=20,hoax
kambing ,Kambing melahirkan babi,"Kambing Melahirkan Bayi Campuran Babi Dengan Manusia, Warga Percaya Makhluk Itu Setan Membawa Kesialan https://benankmerah.co/news/kambing-melahirkan-bayi-campuran-babi-dengan-manusia-warga-percaya-makhluk-itu-setan-membawa-kesialan/…",,https://twitter.com/benankmerah/status/1064909073512951808?s=20,hoax
kambing ,Kambing melahirkan babi,"Seekor kambing di Filipina melahirkan anak ""setengah babi setengah manusia"". #MNCTVNews #InfoMNCTVNews",,https://twitter.com/Lintas_MNCTV/status/1065154234511806464?s=20,hoax
kambing ,Kambing melahirkan babi,"VIDEO: Aneh, Kambing Melahirkan Mahluk Setengah Babi http://dlvr.it/QrpkyL",,https://twitter.com/liputan6dotcom/status/1065392943341670406?s=20,hoax
kambing ,Kambing melahirkan babi,piglet itu babi apa kelinci? apa blasteran babi sama kelinci? — Kambing melahirkan anak babi. http://l.ask.fm/igoto/45DKECN75V62DDAUPY6IQO7X5WACLJA7QP6O3DN4D6S2J7FI2AT5A6KOFVGMCQZUKW37QHQEIBRH6FIN5U36Y3N7NLRP5BJDXAAQDBCPIR3SEK6PA6MD4JHXTT5O5VDVTCUYAVIDZXKE3F4EICDQURLE72IHT74O23OURUDLTKWI2I47GRDX5XPV2BALT47GRM7YYSYZ,,https://twitter.com/trixibooo/status/660988074785169408?s=20,?
kambing ,Kambing melahirkan babi,Induk Kambing Melahirkan Makhluk Setengah Babi Setengah Manusia https://maingame88.com/duniacerpen/2021/01/06/induk-kambing-melahirkan-makhluk-setengah-babi-setengah-manusia/… ,,https://twitter.com/riniipk/status/1346880730937270272?s=20,hoax
STAN,STAN ditutup karena radikalisme,"Cari aja di gugel ""stan ditutup karena radikalisme"" nanti banyak ketemu beritanya gais ",,https://twitter.com/PrincesssAzulaa/status/1282613403941400576?s=20,hoax
STAN,STAN ditutup karena radikalisme,[cm] kenapa ini guysss??,STAN DITUTUP KARENA RADIKALISME,https://twitter.com/collegemenfess/status/1282612309563568128?s=20,hoax
STAN,STAN ditutup karena radikalisme,"STAN DITUTUP, KARENA MAHASISWA NYA RAJIN BERIBADAH DICAP RADIKALISME",STAN DITUTUP KARENA RADIKALISME,https://twitter.com/Wildanpribadi20/status/1292115299374731264?s=20,hoax
STAN,STAN ditutup karena radikalisme,"Jika STAN Ditutup Karena Radikalisme, Sudirman Said: Bakal Jadi Skandal Bernegara",,https://twitter.com/radaraktual/status/1282136019232489478?s=20,hoax
STAN,STAN ditutup karena radikalisme,stan ditutup karena radikalisme,,https://twitter.com/Luftypo/status/1282612700489453568?s=20,hoax
STAN,STAN ditutup karena radikalisme,Isu STAN Ditutup Karena Radikalisme Menyebar Dimedsos https://editor.id/isu-stan-ditutup-karena-radikalisme-menyebar-di-medsos/,,https://twitter.com/Pemuda_Depok/status/1298489744117190658?s=20,hoax
STAN,STAN ditutup karena radikalisme,"PKN STAN Ditutup Hanya karena Isu Radikalisme, Sudirman Said: Ini Skandal Bernegara https://suaraislam.id/pkn-stan-ditutup-hanya-karena-isu-radikalisme-sudirman-said-ini-skandal-bernegara/… lewat ",,https://twitter.com/suaraislamID/status/1281801336527269893?s=20,hoax
Suntik KB ,Suntik KB sebabkan,KB Suntik Sebabkan Gemuk?: KB suntik biasanya dilakukan 3 bulan sekali. Fungsi KB 3 bulanan memang bisa membuat ... http://bit.ly/PdcNcX,,https://twitter.com/obatsakit2011/status/227818278238711808?s=20,hoax
Suntik KB ,Suntik KB sebabkan,"mau tnya, apa KB suntik per 3bln itu bs sebabkan berat badan naik? Atau cuma mitos aja? Tq",,https://twitter.com/i_am_wennya/status/303900812210491393?s=20,?
Suntik KB ,Suntik KB sebabkan,KB Pil dan Suntik Sebabkan Kanker: Badan Kependudukan dan Keluarga Berencana Nasional (BKKBN) saat ini mengawa... http://bit.ly/13SKXwi,,https://twitter.com/tribunjambiku/status/355567846585147393?s=20,hoax
Suntik KB ,Suntik KB sebabkan,KB Pil dan Suntik Sebabkan Kanker http://bit.ly/13EMya3,,https://twitter.com/VisitJambi/status/355570331185975296?s=20,hoax
Suntik KB ,Suntik KB sebabkan,"Pil KB Bisa Sebabkan Kebutaan? http://bit.ly/1fh7J6m""kalau suntik kb?",,https://twitter.com/DelviMayora/status/403141680351555584?s=20,hoax
Suntik KB ,Suntik KB sebabkan,"#FitInfo, meski efektif untuk mencegah kehamilan, KB Suntik beresiko sebabkan penipisan tulang, Apalagi jika pemakaiannya lebih dari 2 tahun. jika anda memakai KB jenis ini, konsumsilah makanan yang mengandung vitamin D serta suplemen kalsium untuk menjaga tulang. #stayfit #Senin",,https://twitter.com/FitRadioSMG/status/980646127404855297?s=20,hoax
Suntik KB ,Suntik KB sebabkan,"Waspada, Suntik KB Bisa Sebabkan Kanker https://goo.gl/fb/sWybki #Magelang",,https://twitter.com/ekosusilo/status/1175304630588383232?s=20,hoax
Prabowo,Prabowo stroke ringan,"Pak Prabowo sedang sakit. Kabar tentang penyakitnya juga simpang siur. Dari flu hingga stroke ringan setelah debat Capres ke 4. Apapun, mari kita doakan kesembuhan pak Prabowo. Semoga lekas sembuh pak. #PrabowoSakit",,https://twitter.com/Uki23/status/1114098270035271681?s=20,hoax
Prabowo,Prabowo stroke ringan,"Salfok sama wajah pak prabowo, seperti miring ya, kayanya stroke ringan,, tetanggaku seperti itu,,tp mudah2an sehat trus",,https://twitter.com/Widianto_angga/status/1118946108128935936?s=20,hoax
Prabowo,Prabowo stroke ringan,DOKTER TERAWAN JUGA PERNAH MENTERAPI STROKE RINGAN PRABOWO SUBIANTO.,,https://twitter.com/UciAnggraini14/status/1186948892434169857?s=20,hoax
Prabowo,Prabowo stroke ringan,"Prabowo Alami Stroke Ringan, Bisa Dilihat Dari Bentuk Bibirnya. Trus Gimana Dong?: http://youtu.be/t0GcOJ3ot0U?a ",,https://twitter.com/LendangGosip/status/1041486052362514433?s=20,hoax
Prabowo,Prabowo stroke ringan,"Memang berbahayaaaaa, makanya jangan dipilih jadi presiden.. Kalo tidak salah kesehatan pernah dicek, Prabowo pernah kena stroke ringan.. Mungkin akibat emosi yg tdk stabil..",,https://twitter.com/PakarLogika/status/992954985443807232?s=20,hoax
Prabowo,Prabowo stroke ringan,Selain sdh sepuh mungkin blio pernah menderita stroke ringan GWS pak,,https://twitter.com/Yettidewi/status/1091929796710359040?s=20,hoax
Prabowo,Prabowo stroke ringan,Pak prabowo sprti beda. Sprti pernah terkena stroke ringan kya nya. Saat ngomong terlihat bnget mulut beliau tdk simetris.,,https://twitter.com/ByethLG/status/1001793819128414208?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,Warga negara Timor Leste dikabarkan ingin bergabung lagi dengan dengan Indonesia bila diberi kesempatan kedua.,,https://twitter.com/sarahvi88692448/status/1304575313280729093?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,"""Timor Leste mau bergabung lagi dengan Indonesia"". Berdusta atau memuja, bagi penulisnya sama saja. https://indonesiana.tempo.co/read/59531/2016/01/28/maskusdiono/timor-leste-ingin-gabung-ri-karena-jokowi…",,https://twitter.com/RachlanNashidik/status/970973719895003136?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,Timor Leste Disebut Ingin Kembali Bergabung Dengan Indonesia https://familinia.com/timor-leste-disebut-ingin-kembali-bergabung-dengan-indonesia/,,https://twitter.com/familinia/status/1301875568368144384?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,"Nahhh... lohhh Dulu Ngotot Pisah, Kini Warga Timor Leste Ingin Kembali Bergabung dengan Indonesia, Ini Alasannya",,https://twitter.com/gagakasep/status/1301441002540941312?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,Xanana Ingin Timor Leste Bergabung Lagi Dengan Indonesia: http://youtu.be/e8tq1UoBhPY?a ,,https://twitter.com/SavilaAisyah/status/557633797731418114?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,WOW!! Timor Leste Ingin Bergabung Kembali dengan Indonesia By : Indonesia JAKARTA - Setelah Timor Leste keluar... http://fb.me/1CjCD1CWR,,https://twitter.com/dj_milah/status/402192288379457536?s=20,hoax
Timor Leste,timor leste bergabung dengan indonesia,"""Timor Leste harus bergabung dengan Indonesia. Kami butuh pemimpin baru,"" ujar Xanana di Surabaya. Xanana sudah... http://fb.me/1qwmBLpjL",,https://twitter.com/yupiterloinati1/status/759317875706376192?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,"Ada apa dengan negara ku Wajah menangis, antigen bekas, vaksin palsu, suntikan vaksin kosong saat vaksin , dimana hati kalian weiiii",,https://twitter.com/marina_tobing/status/1396741156612972546?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,Pantasan banyak lansia yg disuntik tanpa obat vaksin di video alias hanya jarum suntikan yg ditusukan.tapi kosong. Ky ini yg dijual.pantas banyak org curiga.ternyata bener.,,https://twitter.com/Comment_25/status/1395975961091350532?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,Mana vaksin nya kayak suntikan kosong gitu,,https://twitter.com/Dublin2Eric/status/1352607173386194945?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong",,https://twitter.com/idntodayco/status/1304827093889376256?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong | Berita7",,https://twitter.com/Berita7dotid/status/1304680713271169024?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,"Relawan Vaksin Sinovac Positif COVID-19, Tim Riset Duga Suntikan Obat Kosong",,https://twitter.com/demokrasicoid/status/1304695629923233793?s=20,hoax
Vaksin kosong,Suntikan vaksin kosong,"Ujian klinikal vaksin mendapati, di kalangan mereka yg diberi suntikan vaksin, hanya 8 individu dijangkiti COVID-19 selepas 7 hari tamat dos kedua, berbanding seramai 162 di kalangan mereka diberi suntikan kosong/ placebo. Bermakna vaksin ini berkesan mencegah jangkitan.",,https://twitter.com/DrHirman/status/1383792534380445697?s=20,?
Mendikbud,Mendikbud hapus pelajaran sejarah,Beginilah klo Tukang Ngurus Ojek di jadikan Mendikbud Dulu di mana Nadiem Sekolahnya berapa Nilai Mata Pelajaran Sejarah nya Makanya kenapa bidang studi PSPB di HAPUS Jadi Buta Sejarah #ReshuffleNadiemMakarim,,https://twitter.com/zunzun_mardiono/status/1384276689547530254?s=20,hoax
Mendikbud,Mendikbud hapus pelajaran sejarah,PDIP Kecam Rencana Mendikbud Nadiem Mau Hapus Mata Pelajaran Sejarah,,https://twitter.com/ChakrawalaS/status/1307645573802192896?s=20,hoax
Mendikbud,Mendikbud hapus pelajaran sejarah,"Agak krik aja pas tahu mendikbud mau hapus kurikulum sejarah, hadeeeh. Ya meski memang pelajaran itu dibawakan secara monoton saat SMP dan SMA. Sejarah pentingloh meski siswa anak IPA. Wawasan kebangsaan dan dunia kan dari ilmu sosial itu meski anak IPA gak mungkin ujung2 PKn.",,https://twitter.com/anisajayanti_/status/1307126030516264961?s=20,hoax
Mendikbud,Mendikbud hapus pelajaran sejarah,"Kata Bung Karno: Bangsa besar adalah bangsa yang menghargai jasa para pahlawannya. Mendikbud : Hapus mata pelajaran sejarah dari kurikulum pendidikan. Lha, bagaimana bisa mengenal dan menghargai pahlawan tanpa belajar sejarah?",,https://twitter.com/AbdulAzizlatte/status/1308281244044550144?s=20,hoax
Mendikbud,Mendikbud hapus pelajaran sejarah,"Ga tau apa kerjanya. Awal2 gelar akademik ga dia anggap, skarang mo hapus pelajaran sejarah.. Baiknya org ini jadi Kang Ojol aja lagi !! ______________ Pelajaran Sejarah Bakal Dihapus, Wakil Ketua MPR: Mendikbud Buta Sejarah! https://news.demokrasi.co.id/pelajaran-sejarah-bakal-dihapus-wakil-ketua-mpr-mendikbud-buta-sejarah/?amp&__twitter_impression=true… https://m.bernas.id/71310-mendikbud-sebut-gelar-kelulusan-tidak-menjamin-kompetensi-pakar--nadiem-jangan-sembarangan-keluarkan-pernyataan.html",,https://twitter.com/SBahriTweet/status/1307269135072591873?s=20,hoax
Mendikbud,Mendikbud hapus pelajaran sejarah,Mendikbud Wacanakan Hapus Pelajaran Sejarah,,https://twitter.com/dniupdate/status/1387087022389710852?s=20,hoax
Mendikbud,Mendikbud hapus pelajaran sejarah,"Terkejut, Mendikbud Nadiem Bantah Rencana Hapus Pelajaran Sejarah Mendikbud Nadi",,https://twitter.com/MER0KET/status/1307630701240414208?s=20,hoax
BCA,Phk besar besaran BCA,"PHK besar-besaran BCA segera terjadi, Teller dan CS akan dihilangkan. seluruh indonesia.",,https://twitter.com/85albasrihasan/status/1276641796219494400?s=20,hoax
BCA,Phk besar besaran BCA,"Tanda2 hegemoni RIBA akan segera hancur..? Kemarin Bukopin gagal bayar deposito nasabah, Blm lama BCA pun demikian, Berlanjut berita hari ini pun ga kalah ngeri..Wajah ketakutan PHK besar-besaran BCA segera terjadi, Teller & CS akan dihilangkan seluruh indonesia.",,https://twitter.com/SupermanInsyaf/status/1277399775470424069?s=20,hoax
BCA,Phk besar besaran BCA,Kabar yang menyebut BCA akan melakukan PHK besar-besaran beredar di media sosial Twitter pada Jumat (3/7). #viral,,https://twitter.com/Genpi_Co/status/1279194214249590785?s=20,hoax
